Position,Job Type,Rate,Location,Recruiter,Reference,Description,Python,Power BI,SQL,R,Azure,Tableau,AWS,Google Analytics,Machine Learning
Data Architect,Contract,662.5,Remote,Tech Talent ID,JSSK416,"Enterprise level Project/Programme Data Architect required by this boutique consultancy working on a huge transformation programme for a global media organisation. You will be working closely with the Lead Enterprise Architect and focused on a technology enablement programme deploying and integrating core business platforms to support a standardised operating model across all business functions. As such, you will be able to demonstrate Enterprise level design improvement to end-end processes across the entire business, as well as an ability, and willingness to roll up your sleeves and get your hands dirty. You will have accountability for the data architecture of the integrated ERP platform, comprising core Master, Reference and Transactional data exchanged between platforms and modelling the core DW models. This will involve liaison with internal BI, Platform, Integration teams and developing strong relationships with stakeholders to C-level. Ideally you can demonstrate experience of -  Data modelling, lineage and reference data management Transactional data Information governance controls Data life cycle management Data security Bridge between technology and business Communicating architectural material to C-level audiences  Essentially this work will ideally be across an environment consisting of some of the following platforms and technologies.  Salesforce, Dynamics365, Workday, Workfront iPaaS/MDM platforms EAI hubs Any SnapLogic/Boomi experience will be beneficial  Please note that this role is Outside IR35, based in central London 1-2 days per week, remote for the remainder. Please contact me for further details and a full spec. Must be available immediately (June).",0,0,0,0,0,0,0,0,0
Data Analyst,Permanent,54000.0,Slough,TD Group Limited,JS60002-590,"BI Data Analyst Permanent - Slough  Our client is a highly regarded Global Financial services company. We are looking for an experienced BI Data Analyst. Excellent knowledge of software tools such as SQL, Excel, Jira and Power BI are essential.  Knowledge of Collibra and or Denodo, would be highly desirable. This role will report directly into the Head of BI and will involve working on a range of high-profile projects in conjunction with several global clients. Responsibilities will include:  Business Engagement in areas of Reporting and Data analysis First point of contact with business users with data & reporting queries Conduct investigative work, document and recommend new approaches to meet stakeholder requirements Maintain data linage documentation Conduct exploratory analysis on new and existing data sources Work on new and existing reports, Dashboards & Data Models Help break designs into new JIRA user stories  Key Knowledge and skill areas are:  Expert communicator, experienced in building, maintaining and influencing relationships with a range of internal and external stakeholders at all levels Creativity to formulate ideas and question current thinking Use negotiating and influencing skills to promote an idea or concept Be seen as a trusted advisor by the customer Excellent experience of SQL and reporting  Solid experience of Power BI Knowledge of modern data management tools and aptitude to learn new platforms Experience of using RDBMS and file-based data sources Analytical, precise, with an open questioning approach Lateral thinker with the ability to adapt quickly to new challenges Energetic with a passion to deliver and learn Fluent in business English with excellent written and verbal communication skills  This will be a permanent role. An excellent salary of circa £54,000 pa plus bonus and benefits will be paid to the right candidate. TD Group Limited acts as an employment business for interim positions and an employment agency for permanent positions. TD Group is committed to equal opportunity and diversity.",0,1,1,0,0,0,0,0,0
Data Engineer,Permanent,72500.0,London,Venturi Limited,JS-BBBH83522,"Senior Data Engineer - Databricks/Spark/Azure Data LakeSenior Azure Data Engineer - Databricks/Spark/Azure Data Lake is required for a leading fitness provider; you'll be playing a key part in supporting the business' data strategy solutions as well as onboarding datasets! You'll be part of an expanding, innovative team working closely with Data Scientists and key business stakeholders.They place their people and culture at the centre of their business, investing and encouraging you to reach your own personal and career-based goals.On top of a salary of up to £75,000 depending on experience, there is a generous benefits package which includes 25 days annual leave, funded training and development, multiple social activities and much more;* Up to 25% company bonus!* Gym Membership* Private Medical and Healthcare* Very friendly and inclusive culture* This expansion means a variety of career progression options in the future;The successful Senior Data Engineer will have the following essential skills: * Strong experience of working with Databricks, Spark and Python* Knowledge implementing data warehouse solution in Azure, SQL and PowerBI* Data Processing - Structured, semi-structured and unstructured data* Experience in working with Microsoft BI Stack - SSRS, SSIS, SSAS* A resilient, proactive and highly motivated individualDesirable Skills/Qualifications for the Lead Azure Data Engineer* Knowledge on building Tabular models in Azure* Working to an Agile methodology* Experience using Azure Cosmos DB* Exposure to RedshiftThis is a fantastic opportunity for a Senior Data Engineer who is looking to perform a critical role performing lead responsibilities across multiple projects simultaneously.You will be further developing your Azure knowledge as well as continuing to develop your skills as a Senior Data Engineer managing and implementing multiple projects.Again, a basic salary of £70,000 - £75,000 plus bonus and benefits is on offer depending on your experience.To find out more about this role, please send your CV to (see below) for review as initial interviews with the client are being arranged ASAP.Key Words: Senior Data Engineer - Databricks/Spark/Azure Data Lake/Azure Data Factory/Azure Blob/Azure DevOps/Azure Cosmos/SQL/PowerBI/SSRS/SSIS/SSAS",1,1,1,0,1,0,0,0,0
Data Engineer,Permanent,64500.0,Birmingham,Michael Page Technology,JS-JN -032022-5379128,"Looking for a Senior Data Engineer to join their rapidly growing tech team at GPA, who can dominate the data domain and able to have the lead of their data management. Client DetailsThe Government Property Agency is changing the way the Civil Service works and is at the forefront of Government's transformation agenda; reshaping the relationship civil servants have with their place of work. The Agency is central to the delivery of key Government policies including moving 22,000 Civil Service roles out of London by 2030 and tackling climate change by contributing to the Net Zero agenda. To do this we are delivering a major change programme across the UK and consolidating our portfolio in order to save £1.4 Bn over 10 years.Beyond the bricks and mortar, the GPA is about providing great workplaces for our people. Through programmes like Hubs, Whitehall Campus and Smart Working you will be in the vanguard of creating model working environments and promoting flexible working practices.This is an ambitious and exciting task, for which we need innovative people, with strong commercial acumen, who are passionate about visualising and implementing customer needs. Launched as an Executive Agency of the Cabinet Office in 2018, we're a relatively new department and we are growing fast so we also need people who thrive in ambiguity, can adapt quickly to change and are comfortable stepping outside of their remit to drive outcomes.Description- Directly and through partners implement data flows to connect operational systems, data for analytic and Business Intelligence systems.- Identify and lead on re-engineering manual data flows to enable scaling and repeat ability.- Directly and through partners develop data systems, leading on developments as required.- Directly and through partners develop ETL layers and optimise them.- Directly and through partners develop re-usable, business driven, high quality, Business Intelligence dashboards and reports.- Lead on maximising opportunities to re-use existing data flows.- Lead work to manage GPA data systems.- Provide expert advice to the GPA on matters of data platforms, data integration and visualisation tools.- Develop the core data platform capabilities for the GPA and then enrich these capabilities with technology innovation, modelling and artificial intelligence tools as required.- Leverage relationships with other government departments, stakeholders and industry partners at all levels to improve property related data and the GPAs standing as property data experts across government.Profile- Able to communicate to and between technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics.- Experience of waterfall and agile development and experience of improving business processes with data.- Experience of database design and the production of associated documentation such as entity relationship diagrams.- Kow how to undertake data profiling and source system analysis and can present clear insights to colleagues to support the end use of the data.- Able to design, build and test data products that are complex or large-scale. You know how to build teams to complete data integration services.- You will have experience of AWS data services or similar.- You have experience of PowerBi/MS Access and Excel data integration.- Understand the impact of emerging trends on the organisation in data tools, analysis techniques and data usage.- Know how to select and implement the appropriate technologies to deliver resilient, scalable and future-proofed data solutions.- Understand the concepts and principles of Datamodelling and can produce relevant data models across multiple subject areas. You know how to reverse-engineer data models from a live system. You understand industry-recognised Datamodelling patterns and standards and when to apply them. You can compare and align different data models.- Able to design an appropriate metadata repository and present changes to existing metadata repositories. You understand a range of tools for storing and working with metadata.- You know how to respond to problems in databases, data processes, data products and services as they occur. You can initiate actions, monitor services and identify trends to resolve problems. You can determine the appropriate Remedy and assist with implementation of it as well as preventative measures.- You know how to use agreed standards and tools to design, code, test, correct and document moderate-to-complex programs and scripts from agreed specifications and subsequent iterations. You can collaborate with others to review specifications where appropriate.Job OfferSalary up to £63,000 National and £66,000 LondonLearning and development tailored to your roleFlexible working options, this includes the ability to work from home from time to time and the use of flextime.A Civil Service pension, with an employer contribution rate for this role of 27.9%Generous annual leaveAnd more! Get in touch for our extensive list of benefitsOffice locations: London, Birmingham, Leeds, Manchester, Newport, Nottingham, Norwich, Swindon",0,1,0,0,0,0,1,0,0
Data Engineer,Permanent,64500.0,London,Michael Page Technology,JS-JN -052022-5619720,"Looking for a Senior Data Engineer to join their rapidly growing tech team at GPA, who can dominate the data domain and able to have the lead of their data management. Client DetailsThe Government Property Agency is changing the way the Civil Service works and is at the forefront of Government's transformation agenda; reshaping the relationship civil servants have with their place of work. The Agency is central to the delivery of key Government policies including moving 22,000 Civil Service roles out of London by 2030 and tackling climate change by contributing to the Net Zero agenda. To do this we are delivering a major change programme across the UK and consolidating our portfolio in order to save £1.4 Bn over 10 years.Beyond the bricks and mortar, the GPA is about providing great workplaces for our people. Through programmes like Hubs, Whitehall Campus and Smart Working you will be in the vanguard of creating model working environments and promoting flexible working practices.This is an ambitious and exciting task, for which we need innovative people, with strong commercial acumen, who are passionate about visualising and implementing customer needs. Launched as an Executive Agency of the Cabinet Office in 2018, we're a relatively new department and we are growing fast so we also need people who thrive in ambiguity, can adapt quickly to change and are comfortable stepping outside of their remit to drive outcomes.Description- Directly and through partners implement data flows to connect operational systems, data for analytic and Business Intelligence systems.- Identify and lead on re-engineering manual data flows to enable scaling and repeat ability.- Directly and through partners develop data systems, leading on developments as required.- Directly and through partners develop ETL layers and optimise them.- Directly and through partners develop re-usable, business driven, high quality, Business Intelligence dashboards and reports.- Lead on maximising opportunities to re-use existing data flows.- Lead work to manage GPA data systems.- Provide expert advice to the GPA on matters of data platforms, data integration and visualisation tools.- Develop the core data platform capabilities for the GPA and then enrich these capabilities with technology innovation, modelling and artificial intelligence tools as required.- Leverage relationships with other government departments, stakeholders and industry partners at all levels to improve property related data and the GPAs standing as property data experts across government.Profile- Able to communicate to and between technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics.- Experience of waterfall and agile development and experience of improving business processes with data.- Experience of database design and the production of associated documentation such as entity relationship diagrams.- Kow how to undertake data profiling and source system analysis and can present clear insights to colleagues to support the end use of the data.- Able to design, build and test data products that are complex or large-scale. You know how to build teams to complete data integration services.- You will have experience of AWS data services or similar.- You have experience of PowerBi/MS Access and Excel data integration.- Understand the impact of emerging trends on the organisation in data tools, analysis techniques and data usage.- Know how to select and implement the appropriate technologies to deliver resilient, scalable and future-proofed data solutions.- Understand the concepts and principles of Datamodelling and can produce relevant data models across multiple subject areas. You know how to reverse-engineer data models from a live system. You understand industry-recognised Datamodelling patterns and standards and when to apply them. You can compare and align different data models.- Able to design an appropriate metadata repository and present changes to existing metadata repositories. You understand a range of tools for storing and working with metadata.- You know how to respond to problems in databases, data processes, data products and services as they occur. You can initiate actions, monitor services and identify trends to resolve problems. You can determine the appropriate Remedy and assist with implementation of it as well as preventative measures.- You know how to use agreed standards and tools to design, code, test, correct and document moderate-to-complex programs and scripts from agreed specifications and subsequent iterations. You can collaborate with others to review specifications where appropriate.Job OfferSalary up to £63,000 National and £66,000 LondonLearning and development tailored to your roleFlexible working options, this includes the ability to work from home from time to time and the use of flextime.A Civil Service pension, with an employer contribution rate for this role of 27.9%Generous annual leaveAnd more! Get in touch for our extensive list of benefitsOffice locations: London, Birmingham, Leeds, Manchester, Newport, Nottingham, Norwich, Swindon",0,1,0,0,0,0,1,0,0
Data Scientist,Permanent,57850.0,London,Department for International Trade,JS3097030/1612632706,"We create digital services, data tools and technology for businesses to prosper around the world. Have a look at our video ! Our Digital, Data and Technology team develops and operates tools, services, and platforms that enable the UK government to provide world leading support to businesses in the UK and overseas. You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship, and the aspiration to offer an incredible experience to all our users.  Job Description  Let us tell you a little bit about the role...  As a Senior Data Scientist, You will:  As the Senior Data Scientist, you'll use high quality datasets held inside and outside Department for International Trade (DIT) including data and management information, commercial and business data. The department has a relationship with international datasets from Org. for Economic Cooperation and Development, World Bank and UN Comtrade, statistical microdata and large datasets from Office of National Statistics, Her Majesty's Revenue and Customs, Dept. for Transport, Dept. for Environment and Dept. for Food and Rural Affairs. This will include open-source data on trade, shipment of goods, trade in services and digitally enabled trade, commercially available data on trade, consumer prices and product quality. As a Senior Data Scientist at DIT, you'll work closely with customer facing staff and technical colleagues to deliver cutting-edge data science products to inform and influence DIT strategic and operational activity.  Accountabilities: You will be an experienced Senior Data Scientist G7 who can:  Be expected to work independently to deliver projects and oversee the work of junior team members, potentially including line management.  Lead on data science projects, making use of R/Python to exploit internal data on trade and open and commercial data sources.  Engage with colleagues across the department to explore new opportunities for data science to help frontline staff deliver against corporate objectives.  You'll use both structured and unstructured data held inside and outside the department to produce data science products. These will include:    Relevant data and management information held across DIT including commercial data on businesses the department has a relationship with.  Datasets from organisations such as the OECD, World Bank, UN, and WTO. Unstructured free text data including user enquiries and feedback. Large datasets available from ONS, HMRC, DFT, DEFRA and other government departments.  Open-source data on trade, shipment of goods, trade in services and digitally enabled trade. Commercially available data on trade, consumer prices and product quality.   Essential Skills and Experience: You'll have demonstrable skills and experience of:   Strong coding skills using Python or R.  A strong understanding of statistical foundations of data science, including classification and regression.  An ability to explain complex outputs to non-specialist audiences.  Worked on large and open-source datasets, including data wrangling and engineering.  How to Apply Please click APPLY NOW. For detailed information and guidance on how we sift and interview applications at Department for International Trade, to help you ace your Civil Service interview.  The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click through to apply and find out more.  Technical Skills We'll assess you against these technical skills during the selection process:   Agile working Data-informed decision-making Stakeholder relationship management Strategic thinking User-centred content design Location Details.  Further Information Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade. ",1,0,0,1,0,0,0,0,0
Data Scientist,Permanent,57850.0,London,Department for International Trade,JS128294209/1612632708,"We create digital services, data tools and technology for businesses to prosper around the world. Have a look at our video ! Our Digital, Data and Technology team develops and operates tools, services, and platforms that enable the UK government to provide world leading support to businesses in the UK and overseas. You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship, and the aspiration to offer an incredible experience to all our users.  Job Description  Let us tell you a little bit about the role...  As a Senior Data Scientist, You will:  As the Senior Data Scientist, you'll use high quality datasets held inside and outside Department for International Trade (DIT) including data and management information, commercial and business data. The department has a relationship with international datasets from Org. for Economic Cooperation and Development, World Bank and UN Comtrade, statistical microdata and large datasets from Office of National Statistics, Her Majesty's Revenue and Customs, Dept. for Transport, Dept. for Environment and Dept. for Food and Rural Affairs. This will include open-source data on trade, shipment of goods, trade in services and digitally enabled trade, commercially available data on trade, consumer prices and product quality. As a Senior Data Scientist at DIT, you'll work closely with customer facing staff and technical colleagues to deliver cutting-edge data science products to inform and influence DIT strategic and operational activity.  Accountabilities: You will be an experienced Senior Data Scientist G7 who can:  Be expected to work independently to deliver projects and oversee the work of junior team members, potentially including line management.  Lead on data science projects, making use of R/Python to exploit internal data on trade and open and commercial data sources.  Engage with colleagues across the department to explore new opportunities for data science to help frontline staff deliver against corporate objectives.  You'll use both structured and unstructured data held inside and outside the department to produce data science products. These will include:    Relevant data and management information held across DIT including commercial data on businesses the department has a relationship with.  Datasets from organisations such as the OECD, World Bank, UN, and WTO. Unstructured free text data including user enquiries and feedback. Large datasets available from ONS, HMRC, DFT, DEFRA and other government departments.  Open-source data on trade, shipment of goods, trade in services and digitally enabled trade. Commercially available data on trade, consumer prices and product quality.   Essential Skills and Experience: You'll have demonstrable skills and experience of:   Strong coding skills using Python or R.  A strong understanding of statistical foundations of data science, including classification and regression.  An ability to explain complex outputs to non-specialist audiences.  Worked on large and open-source datasets, including data wrangling and engineering.  How to Apply Please click APPLY NOW. For detailed information and guidance on how we sift and interview applications at Department for International Trade, to help you ace your Civil Service interview.  The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click through to apply and find out more.  Technical Skills We'll assess you against these technical skills during the selection process:   Agile working Data-informed decision-making Stakeholder relationship management Strategic thinking User-centred content design Location Details.  Further Information Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade. ",1,0,0,1,0,0,0,0,0
Data Engineer,Permanent,64500.0,Manchester,Michael Page Technology,JS-JN -052022-5619722,"Looking for a Senior Data Engineer to join their rapidly growing tech team at GPA, who can dominate the data domain and able to have the lead of their data management. Client DetailsThe Government Property Agency is changing the way the Civil Service works and is at the forefront of Government's transformation agenda; reshaping the relationship civil servants have with their place of work. The Agency is central to the delivery of key Government policies including moving 22,000 Civil Service roles out of London by 2030 and tackling climate change by contributing to the Net Zero agenda. To do this we are delivering a major change programme across the UK and consolidating our portfolio in order to save £1.4 Bn over 10 years.Beyond the bricks and mortar, the GPA is about providing great workplaces for our people. Through programmes like Hubs, Whitehall Campus and Smart Working you will be in the vanguard of creating model working environments and promoting flexible working practices.This is an ambitious and exciting task, for which we need innovative people, with strong commercial acumen, who are passionate about visualising and implementing customer needs. Launched as an Executive Agency of the Cabinet Office in 2018, we're a relatively new department and we are growing fast so we also need people who thrive in ambiguity, can adapt quickly to change and are comfortable stepping outside of their remit to drive outcomes.Description- Directly and through partners implement data flows to connect operational systems, data for analytic and Business Intelligence systems. - Identify and lead on re-engineering manual data flows to enable scaling and repeat ability.- Directly and through partners develop data systems, leading on developments as required.- Directly and through partners develop ETL layers and optimise them.- Directly and through partners develop re-usable, business driven, high quality, Business Intelligence dashboards and reports.- Lead on maximising opportunities to re-use existing data flows.- Lead work to manage GPA data systems.- Provide expert advice to the GPA on matters of data platforms, data integration and visualisation tools.- Develop the core data platform capabilities for the GPA and then enrich these capabilities with technology innovation, modelling and artificial intelligence tools as required.- Leverage relationships with other government departments, stakeholders and industry partners at all levels to improve property related data and the GPAs standing as property data experts across government.Profile- Able to communicate to and between technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics.- Experience of waterfall and agile development and experience of improving business processes with data.- Experience of database design and the production of associated documentation such as entity relationship diagrams.- Kow how to undertake data profiling and source system analysis and can present clear insights to colleagues to support the end use of the data.- Able to design, build and test data products that are complex or large-scale. You know how to build teams to complete data integration services.- You will have experience of AWS data services or similar.- You have experience of PowerBi/MS Access and Excel data integration.- Understand the impact of emerging trends on the organisation in data tools, analysis techniques and data usage.- Know how to select and implement the appropriate technologies to deliver resilient, scalable and future-proofed data solutions.- Understand the concepts and principles of Datamodelling and can produce relevant data models across multiple subject areas. You know how to reverse-engineer data models from a live system. You understand industry-recognised Datamodelling patterns and standards and when to apply them. You can compare and align different data models.- Able to design an appropriate metadata repository and present changes to existing metadata repositories. You understand a range of tools for storing and working with metadata.- You know how to respond to problems in databases, data processes, data products and services as they occur. You can initiate actions, monitor services and identify trends to resolve problems. You can determine the appropriate Remedy and assist with implementation of it as well as preventative measures.- You know how to use agreed standards and tools to design, code, test, correct and document moderate-to-complex programs and scripts from agreed specifications and subsequent iterations. You can collaborate with others to review specifications where appropriate.Job OfferSalary up to £63,000 National and £66,000 LondonLearning and development tailored to your roleFlexible working options, this includes the ability to work from home from time to time and the use of flextime.A Civil Service pension, with an employer contribution rate for this role of 27.9%Generous annual leaveAnd more! Get in touch for our extensive list of benefitsOffice locations: London, Birmingham, Leeds, Manchester, Newport, Nottingham, Norwich, Swindon",0,1,0,0,0,0,1,0,0
Data Analyst,Permanent,58500.0,Liverpool,Michael Page Technology,JS-JN -062022-5641369,"The purpose of Senior Data Analyst role is to provide insightful analysis and data on client (customer) activity across our customer base. This is an exciting opportunity to help develop the understanding of the client and take the business to the next level.Client DetailsWe are the third-largest UK wealth manager when ranked by revenues and fourth when measured by AUM. It is also the sixth-largest UK professional services group by fee income. We are building out a new data and analytics team from scratch this is an opportunity for a Senior Data Analyst to come in at the ground level and help us on our journey to become a data driven organisation. Our analytics team are based in Liverpool, this role has a hybrid working model, 3 days in the office, 2 working from home, we also have offices you can work out of in multiple parts of the uk if travelling to Liverpool isn't practical. DescriptionReporting to the Head of Client Insights and Digital Analysis, the Senior Data Analyst will be responsible for but not limiteed to:Developing an understanding of new and prospective clients, particularly around acquisition, retention and churnOwn, build and manage a roadmap of analytics and insights projects collaborating with the rest of the Insights team and other stakeholders to do soBuild statistical models to be able to perform descriptive, inferential, and predictive analyticsBuild understanding of key drivers of performance trends based on a hypothesis-driven approach, backed-up by robust statistical analysisWork with other data teams to create a single source of truthProfileThe successful Senior Data Analyst will be able to demonstrate:Deep demonstrable knowledge of SQL, Python and RAdvanced working knowledge of PowerBI an advantageDegree in Mathematics, Statistics, Business, Analytics, or relevant field;Proven experience as Senior Data AnalystData-warehousing principles and best practicesKnowledge of Statistical analysis techniquesJob OfferAs well as a competitive salary and benefits package, the Senior Data Analyst will be able to leverage their existing knowledge and exposure to data analysis and will be able to use this to help us build up and out our analytics capability. This is an opportunity for someone to come in and take ownership of our analytics roadmap. This role would be suitable for somebody who has a proven record of owning or driving forward analytical road maps or for somebody who is looking for that next step up in their career. Hot role apply now. ",1,1,1,0,0,0,0,0,0
Data Analyst,Permanent,75000.0,London,Robert Walters,JS-50799933/001,"The purpoe of the Senior Data Analyst is to provide insightful analysis and data on client (customer) activity across all departments within the business. The business itself is a UK leader in integrated wealth management and professional services.Key Skills and Experience:* Deep demonstrable knowledge of SQL, Python and R* Advanced working knowledge of PowerBI an advantage* Degree in Mathematics, Statistics, Business, Analytics, or relevant field;* Proven experience as Senior Data Analyst. Data-warehousing principles and best practices* Knowledge of Statistical analysis techniquesKey Responsibilities:* Develop understanding of new and prospective clients, particularly around acquisition, retention and churn* Own, build and manage a roadmap of analytics and insights projects collaborating with the rest of the Insights team and other stakeholders to do so* Build statistical models to be able to perform descriptive, inferential, and predictive analytics* Build understanding of key drivers of performance trends based on a hypothesis-driven approach, backed-up by robust statistical analysis * Be able to segment clients and understand how behaviour differs across segments* Work with other data teams to create a single source of truth* Source, cleanse and structure data where needed for analytical projects* Understand where data resides, who owns it and how it is used throughout the platform, and identify opportunities for improvement.* Define and evangelise product and customer metrics* Work closely with different teams across the business to improve data literacy and empower teams with the right tools, reports and guidance to leverage insight to make better informed decisions* Build visualizations to present insights * Manage one other data analyst",1,1,1,0,0,0,0,0,0
Data Engineer,Contract,157.5,London,GIOS Technology Limited,JS DATA ENGINEER / SSIS / PYTHON / SQL,"We are Hiring for Junior Data engineer Work Location: Remote - 2 Days a week in London, Leeds or Exeter 1. Should be willing for coding or learning the new languages that they use - more about mindset rather than tech qualifications.2. Strong Knowledge on SSIS and python one or the other ideally SQL4. Should be able to do coding and managing large data sets.5. Good to have version control - GIT Key Skills: R, Python, SQL or SAS, SSIS, GIT",1,0,1,0,0,0,0,0,0
Data Scientist,Permanent,55000.0,London,RP International,JS1283553,"RP International are looking for a Junior Data Scientist paying up to 55K to join a well funded scale up business working with some of the world's leading telecoms brands. This is an opportunity to work with cutting edge technology in an environment where you are encouraged to think and act outside traditional methods. This is a growing business with a flat structure meaning everyone is visible and able to make an impact, not just in their own role, but across the business daily. A collaborative, innovative and sociable culture is encouraged, oriented towards performance and competitive advantage. Their DNA is made up of flexibility to all staff with a family friendly approach and focus on personal development.  Education and Experience:    2+ years experience as a Data Scientist delivering data science and insight on large-scale data sets. Production-level coding proficiency using Python including feature engineering and model development and evaluation Solid theoretical knowledge of ML with differential privacy, unsupervised learning and modern NLP techniques such as transfer learning and word embeddings essential. Comfortable working with business stakeholders to translate business goals into data science capabilities and evaluation metrics Continuous delivery of robust data science capabilities into production using Agile frameworks (eg git, error handling, model monitoring) Experience with Big Data and Distributed Compute to analyse, explore and exploit very large datasets (Pyspark or Scala)   Benefits:   Flexible working Free breakfast daily (when in the office) 26 days holiday (increasing with service) Pension scheme Income Protection Life Assurance Higher than statutory maternity/paternity benefits Friday socials Cycle to work scheme Training opportunities  If you feel like this is you, submit your CV now for a confidential conversation!  *Must be eligible to work in the UK without sponsorship* ",1,0,0,0,0,0,0,0,0
Data Engineer,Permanent,35032.5,Bedford,InterAct Consulting,JS,"Senior SQL Data Engineer required by leader in their field to be based predominantly remote with 1-2 days a month in the office in Bedford. As the first person in the SQL data engineering function, you will be tasked with Maintaining the smooth running of the production environment.Lead on the development of the Data Warehouse and reporting outputsEnsure that data security standards are always met.Support of the Data Estate and underlaying server infrastructureDeveloping SQL stored procedures and triggersManaging complex Data Warehouse and OLAP cubesPlanning and implementing future technology developments and undertaking project workResponsible for writing clean, well-designed code, following coding standards and best practices.Identify and mitigate technical risks for all data engineering projects.Responsible for integration work, including international products.Responsible for suggesting improvements to existing products and implementing them across our data estate, looking for opportunities for automation and service improvements.The successful SQL Engineer will be able to tick the following Expert level of knowledge of data engineer as a practitioner in commercial environmentsA high level of skill and experience at all levels of the technology stack, including Server Side, database, and Cloud.Microsoft SQL Server, Microsoft Azure, Azure SQL, SSIS, T-SQLSound understanding of database architecture and relevant underpinning concepts including relational Datamodelling, performance optimisation and scalingAble to identify technical risks and propose alternative solutionsAwareness of current trends and developments in data engineeringSalary of up to £70k plus package please apply now.",0,0,1,0,1,0,0,0,0
Data Architect,Permanent,100000.0,Remote,Michael Rothstein Ltd,JS/MRL/WB/EDA,"Enterprise Architect - Data Architect - Financial Services Excellent opportunity arises with a global payments firm (with a presence in over 100 countries) for a broadly skilled Data Architect to spearhead the companies new division and shape their strategy moving forward for other architects working in the data space. You will be heavily involved in visible projects and champion successful changes within the Fintech industry by helping to visualise data. An interest in Digital Analytics is preferable but not essential, with strong inter-personal capabilities required. A typical working day will encompass:  Liaising with colleagues to influence, inform and implement the global data strategy Work across delivery teams to ensure they understand the data strategy, the design templates and delivery Own the canonical data entity models for the region and work to align globally where appropriate Own the business glossary and data dictionaries, working with business and technology stakeholders to gain agreement on core attributes and mastering rules Own the architecture and design artefacts to support the design and delivery teams Be an active participant in the creation and maintenance of technical views across our systems to ensure visibility of where our data is held and how it is used  Interested? Please apply in! Finance Payments Cards Banking Transaction ETL Azure Data Architect Solutions Finance Bank Banking Developer DevOps Digital Platform Warehouse Architecture Enterprise WFH Work from home Data Data Warehouse Data Lake",0,0,0,0,1,0,0,0,0
Data Analyst,Contract,525.0,London,ARC IT Recruitment,JS-RC8584,"Business Analyst, Data  London, City/HybridUp to £550 a day, outside IR35  BI, ETL, Data, SQL, Agile BI/Data Business Analyst opportunity has arisen working for a market leading Insuretech division of progressive City based Insurance organisation. This role will see you working on key data ingestion projects, helping them drive forward their portfolio of challenging and interesting data focused projects in the wholesale insurance space.Responsibilities  Working within the ingestions team to collect business critical data-sets from broking entities across the globe, taking responsibility for up to 4 deliveries at any one timeWork with local technical SMEs and act as the link between them and our development teamRun workshops, interviews and prototyping sessions in order to elicit business requirements Perform analysis for strategic and data projects, using Agile methodology (eg user stories, and backlog priority management etc.) Help to outline possible data solutions and makes recommendations to the stakeholders Actively manage changes to scope and requirements at all stagesHelp with the prioritisation of requirements in alignment with the client and Product Owner Work with Product Owners to build and maintain data product backlogs, addressing client requirements at every stage of the product/service delivery Key Requirements:Experience of working as a Business Analyst within a data area (at least 2 years)Experience with data ingestion and ETL projects and the ability to read and understand database schemas, including relational data objectsProficient user of data tools (eg SQL, Python etc.) to query complex data setsSkilled in MI reportingKnowledge and understanding of data visualisation projectsDashboard manipulation experience (eg Qlikview/Qlik Sense or Power BI)Advanced with MoSCoW, SWOT, PESTLE, RACI charts, stakeholder mapping and other methodologiesExperience of working in Agile project environmentExperience of working in the Insurance industry (particularly London Market insurance) would be an advantageAble to perform detailed business analysis in a small fast moving team with shifting prioritiesDemonstrate ability to deliver high quality business analysis whilst adhering to strict deadlinesAbility to mentor and develop others For a full consultation on this role please email your CV to Arc IT ASAP.",1,1,1,0,0,0,0,0,0
Data Analyst,Permanent,60000.0,London,Lorien,JS-BBBH22609,"Power Trading Data AnalystVery exciting opportunity to join a growing Renewable Energy Trading data team.The successful data analyst will have already worked in Commodities Trading and have a good grasp of this business. Please DO NOT apply unless you have not, many thanks! Working on SQL and Excel the data analyst should have a good grasp of both. The future career paths for the successful data analyst could be either into a client facing Business Analyst type role within the organisation, or further down the technical route as a developer. Please apply now for a confidential discussion and further information about this fantastic opportunity to drive a successful business to the next level.Lorien Plc is acting as an Employment Agency in relation to this vacancy.",0,0,1,0,0,0,0,0,0
