,Position,Job Type,Rate,Location,Recruiter,Reference,Description
292,Senior SQL Data Engineer Developer,Permanent,65-70k,"Bedford, Remote, UK",InterAct Consulting,JS,"Senior SQL Data Engineer required by leader in their field to be based predominantly remote with 1-2 days a month in the office in Bedford. As the first person in the SQL data engineering function, you will be tasked with Maintaining the smooth running of the production environment.Lead on the development of the Data Warehouse and reporting outputsEnsure that data security standards are always met.Support of the Data Estate and underlaying server infrastructureDeveloping SQL stored procedures and triggersManaging complex Data Warehouse and OLAP cubesPlanning and implementing future technology developments and undertaking project workResponsible for writing clean, well-designed code, following coding standards and best practices.Identify and mitigate technical risks for all data engineering projects.Responsible for integration work, including international products.Responsible for suggesting improvements to existing products and implementing them across our data estate, looking for opportunities for automation and service improvements.The successful SQL Engineer will be able to tick the following Expert level of knowledge of data engineer as a practitioner in commercial environmentsA high level of skill and experience at all levels of the technology stack, including Server Side, database, and Cloud.Microsoft SQL Server, Microsoft Azure, Azure SQL, SSIS, T-SQLSound understanding of database architecture and relevant underpinning concepts including relational Datamodelling, performance optimisation and scalingAble to identify technical risks and propose alternative solutionsAwareness of current trends and developments in data engineeringSalary of up to £70k plus package please apply now."
293,Head of Data & AI,Permanent,£120k - 150k per year,"Harmondsworth, Greater London, England, UK",Xpertise,JS9659,"Head of Data/AI Wanted | FTSE 100 |Up to £150kWe are currently working with a globally renowned FTSE 100 who are seeking a Head of Data to help aid in their data infrastructure modernization. The pandemic proved a tough time for us all, and many FTSE 100s were no exception. As a result, our client have decided to invest heavily in a major data infrastructure modernization project to shift from Legacy systems to new cutting-edge technologies.Our Client - A global-leading FTSE 100 in the aviation industry who are looking to undergo a massive data infrastructure transformation!Their Mission - Data leads the world in this century, and no one collects more data than large FTSE 100 companies. To take advantage of this, our client is looking to undergo a complete data infrastructure transformation to gather all of this data effectively and make it usable to inform better business decisions!Up to £150k | Bonus | Pension | Flexible WFH + other benefitsWanted: Head of Data who will take ownership of Data and AI in the organisation with finding and delivering innovations and opportunities to improve the use of data within the organisationThe role: Recent years have shown flaws in their data infrastructure leading to heavy investment into their data department to modernize and migrate their data to the cloud. You will be joining a FTSE 100 with a great culture and be a part of their data and tech revolution!Experience required:· Have managed a data platform at a large organisation previously.· Exceptional ability to understand highly complex technical processes and then communicate them clearly to non-technical stakeholders.· Experience of data innovation and transformation programmes.If you are interested in applying, apply with your CV or email your CV to (see below) to hear more!"
294,Enterprise Architect - Data Architect - Financial Services,Permanent,£100k + Benefits + Bonus,"Remote, UK",Michael Rothstein Ltd,JS/MRL/WB/EDA,"Enterprise Architect - Data Architect - Financial Services Excellent opportunity arises with a global payments firm (with a presence in over 100 countries) for a broadly skilled Data Architect to spearhead the companies new division and shape their strategy moving forward for other architects working in the data space. You will be heavily involved in visible projects and champion successful changes within the Fintech industry by helping to visualise data. An interest in Digital Analytics is preferable but not essential, with strong inter-personal capabilities required. A typical working day will encompass:  Liaising with colleagues to influence, inform and implement the global data strategy Work across delivery teams to ensure they understand the data strategy, the design templates and delivery Own the canonical data entity models for the region and work to align globally where appropriate Own the business glossary and data dictionaries, working with business and technology stakeholders to gain agreement on core attributes and mastering rules Own the architecture and design artefacts to support the design and delivery teams Be an active participant in the creation and maintenance of technical views across our systems to ensure visibility of where our data is held and how it is used  Interested? Please apply in! Finance Payments Cards Banking Transaction ETL Azure Data Architect Solutions Finance Bank Banking Developer DevOps Digital Platform Warehouse Architecture Enterprise WFH Work from home Data Data Warehouse Data Lake"
295,"Business Analyst - Data, Insurance",Contract,"£500 - £550 per Day + Up to £550 a Day, outside IR35","City of London, UK",ARC IT Recruitment,JS-RC8584,"Business Analyst, Data  London, City/HybridUp to £550 a day, outside IR35  BI, ETL, Data, SQL, Agile BI/Data Business Analyst opportunity has arisen working for a market leading Insuretech division of progressive City based Insurance organisation. This role will see you working on key data ingestion projects, helping them drive forward their portfolio of challenging and interesting data focused projects in the wholesale insurance space.Responsibilities  Working within the ingestions team to collect business critical data-sets from broking entities across the globe, taking responsibility for up to 4 deliveries at any one timeWork with local technical SMEs and act as the link between them and our development teamRun workshops, interviews and prototyping sessions in order to elicit business requirements Perform analysis for strategic and data projects, using Agile methodology (eg user stories, and backlog priority management etc.) Help to outline possible data solutions and makes recommendations to the stakeholders Actively manage changes to scope and requirements at all stagesHelp with the prioritisation of requirements in alignment with the client and Product Owner Work with Product Owners to build and maintain data product backlogs, addressing client requirements at every stage of the product/service delivery Key Requirements:Experience of working as a Business Analyst within a data area (at least 2 years)Experience with data ingestion and ETL projects and the ability to read and understand database schemas, including relational data objectsProficient user of data tools (eg SQL, Python etc.) to query complex data setsSkilled in MI reportingKnowledge and understanding of data visualisation projectsDashboard manipulation experience (eg Qlikview/Qlik Sense or Power BI)Advanced with MoSCoW, SWOT, PESTLE, RACI charts, stakeholder mapping and other methodologiesExperience of working in Agile project environmentExperience of working in the Insurance industry (particularly London Market insurance) would be an advantageAble to perform detailed business analysis in a small fast moving team with shifting prioritiesDemonstrate ability to deliver high quality business analysis whilst adhering to strict deadlinesAbility to mentor and develop others For a full consultation on this role please email your CV to Arc IT ASAP."
296,Go Developer (Data),Permanent,£90k - £110k per annum,"London, UK",McGregor Boyall,JS-BBBH152204,"Go Developer (Data)This role will form part of the Data and Platform Engineering team for a leading options market maker. This role will work predominantly on complex internal platform and data projects, engaging from Proof of Concept stages through to implementation of complex solutions. You will work collaboratively to optimize platform performance, develop reference architectures, build data ingestion pipelines and develop applications for data processing.Skills and Experience required* Experience designing and deploying low latency streaming data pipelines in Golang* Experience in data engineering, Dev/Ops and architecting large scale storage, data centre and/or globally distributed solutions* Ability to understand and translate internal customer requirements into technical requirements* Ability to compile and install Linux applications from source, the Linux Kernel and Kernel module* Understanding of network configuration, devices, protocols, speeds and optimizations* Skills include Data Engineering, Kafka, Kubernetes/Docker and Network Config* Languages include Golang (core) and Python* Frameworks include Spark (Scala/Python)* Tools include Jenkins, Gitlab, Artifactory* Experience with Google Cloud PlatformMcGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "
297,Power Trading Data Analyst,Permanent,"£50k - £70k per annum + BONUS, Pension, etc","London, UK",Lorien,JS-BBBH22609,"Power Trading Data AnalystVery exciting opportunity to join a growing Renewable Energy Trading data team.The successful data analyst will have already worked in Commodities Trading and have a good grasp of this business. Please DO NOT apply unless you have not, many thanks! Working on SQL and Excel the data analyst should have a good grasp of both. The future career paths for the successful data analyst could be either into a client facing Business Analyst type role within the organisation, or further down the technical route as a developer. Please apply now for a confidential discussion and further information about this fantastic opportunity to drive a successful business to the next level.Lorien Plc is acting as an Employment Agency in relation to this vacancy."
298,"Director of Data Transformation - Market Data, Analytics",Permanent,"£130k - 145k per annum, Benefits: Bonus + Pension","London, UK",Cornwallis Elt Ltd,JSBHJOB6067_18914,"Director of Data Transformation - Market Data, Analytics, Data Platform, Financial Services, up to £145,000 + packageMy client, a leading financial services organisation, are currently looking for a Director of Data Transformation to join.The role, sitting as part of Shared Services Technology, will be responsible for delivery of the development and expansion of a consolidated common data platform including distribution and analytics shared service across the business. The organisation has grown multiple business units over time that have evolved separately resulting in a complex and distributed architecture. The objective of the programme is to undertake a new multi-year approach to building a platform the meets the needs of the future business.The opportunity for the successful candidate is to lead and transform a strategically significant piece of work that will deliver value to the business for years to come.Candidates must have:Extensive experience managing and delivering significant data platforms, involving global teams and businessesUnderstanding of cloud-based data technologies, content distribution and analyticsAbility to lead and manage large teams to deliveryDeep understanding of data, data management and data governance principles and practicesExperience in complex and highly regulated environments.Knowledge of Market DataThis is an excellent opportunity for an experienced data expert to join a new position with significant influence.Cornwallis Elt is an Employment Agency & Employment Business and has been listed 3 times in The Sunday Times Virgin Fast Track 100 of the UK`s fastest growing private companies, as well as in the Recruitment International Top 250, Top 50 in IT and the Recruiter Fast 50 & Hot 100 reports."
299,Business Intelligence/Data Visualisation,Contract,£500 - 600 per Day + Expenses,"London, UK",Sentinel,JSBB/SP/BIPM2,"Business Intelligence/Data Visualisation/Data Warehouse Project Manager/Azure PM. Superb Microsoft Gold Partner/Professional Services/Consultancy are looking for a seasoned, experienced Project Manager with a background ideally in Data/Business Intelligence/Professional Services to hit the ground running, taking on the Project Management/Delivery of a number of projects in their portfolio. This role, 3 months initially, 100% remote, Outside IR35 will see you in a client facing role managing the projects and teams as they deliver Microsoft Azure Data Solutions. Full details on request "
300,Business Intelligence/Data Visualisation/Data Warehouse Project,Contract,£500 - 600 per Day + Expenses,"London, UK",Sentinel,JSBB/SP/BIPM,"Business Intelligence/Data Visualisation/Data Warehouse Project Manager/Azure PM. Superb Microsoft Gold Partner/Professional Services/Consultancy are looking for a seasoned, experienced Project Manager with a background ideally in Data/Business Intelligence/Professional Services to hit the ground running, taking on the Project Management/Delivery of a number of projects in their portfolio. This role, 3 months initially, 100% remote, Outside IR35 will see you in a client facing role managing the projects and teams as they deliver Microsoft Azure Data Solutions.Full details on request "
301,Business Analyst Data Governance,Contract,£550 - 690 per Day,"London, UK",Elevate Direct,JSIDIBU-16768,"Business Analyst Data GovernanceLondon6 monthsThe Compliance function is a Second line of defence (LOD) function, responsible for reviewing and challenging the activities of the Group's businesses (also referred to as the First LOD ) to ensure that they effectively manage as Risk Owners the Regulatory and Financial Crime Compliance risks inherent in or arising from the conduct of their activities and for which they are responsible. The Second LOD consists of Risk Stewards who are independent of the commercial risk-taking activities undertaken by the First LOD. The Compliance function is a Risk Steward for a number of non-financial risks in accordance with the Group's risk framework.The Risk & Compliance function plays a role in enabling the efficient and effective running of Compliance by serving as trusted partners to the Chief Compliance Officers and other Group Capabilities.The Product Management team ensures that essential systems and data are available to enable Compliance to conduct effective and efficient investigations and analytics. The team is proactive and future-looking, shaping financial crime technology and promoting its adoption across Compliance.The role holder will be responsible for supporting the Senior Product Owner in Data Governance activity for the initiative. This will require close and productive working relationships with the Data Access, Sharing and Privacy team, in country business and Legal and Compliance stakeholders. The role may require occasional nationwide travel.KnowledgeStrong Business Analysis/Project Management experience in a complex global environment, preferably within the financial services industryBusiness analysis, requirements gathering experience and conducting design activity, with a mix of business, operations and technology focused products/projectsKnowledge of Data Privacy and Data Sharing governanceChange management and implementation management techniques and approachesKnowledge of Agile development methodologiesKnowledge of the Google Cloud Platform desirableKnowledge of Machine Learning development cycles desirableJira and Confluence experience desirableAbility in using agile methodology and nurturing talentKnowledge of KYC and transaction monitoring processes desirableInvestigative and/or intelligence experience covering a wide range of financial crime threat areas, including management desirable.Strong interpersonal skills with the ability to communicate technical matters effectively with senior leaders in Compliance and business sponsors.Effective written and verbal communication skills with high attention to detail.Highly motivated self-starter with proven ability to work collaboratively within teams and to deliver on time.Ability to rapidly develop matter expertise in a range of technical and non-technical areas.A personal and professional interest in security, intelligence and technology.decision making and problem solving ability.Sound judgmental skills to identify and resolve problems.Ability to work across regions whilst maintaining a global perspective.Ability to work with senior stakeholders and business sponsors.Ability to work with IT, analytics and transformation teams to deliver on tight schedules.CapabilitiesBusiness Analysis & DesignAchieving ExcellenceDelivery at PaceImpactful communicationStrong attention to detailBusiness Case and Benefits RealisationChange and Implementation ManagementStakeholder ManagementProblem Solving and Critical ThinkingCollaborationProcess Re-engineering If you match these requirements, please apply and Elevate will send you an email. Please open, click and complete required tasks so your application will be visible to the hiring organisation directly. Elevate is a software partner and not a recruitment agency. Please contact employers directly through your Elevate profile with any queries related to your application. "
302,Product Manager (Data),Contract,£500.00 - £550.00 per Day,"London, UK",Salt,JS-JO-2206-256450,"PRODUCT MANAGER (Data/Taxonomy)* £500+ pd* Outside IR35* London/Remote* 6 months rolling Product Data, cataloguing inventory processes, machine learning, automated meta-data tagging, etc.Must have:Data models, master data, product taxonomy, data architecture, etc...Systems integration experienceSmart at designing internal applications with modern principlesMust not be intimidated by unwinding complex Legacy integration architectureMust be very experienced; agile transformationNice to have:Experience: consulting with data science angle, well-versed in modern tech, not just implementing packaged solutions.Strong human-centric approach to building softwareExperience with machine learning, data science, related topics (and putting these intoproductionWhat:Take stock of business processes for consignment inventory intake, meta-data tagging shortcomings and opportunities to improve (decades-old processes)Work with business stakeholders, architects, product, data science, to define and communicate vision, road-map, strategyChange management for business stakeholders (plan, execute)Execute a well-thought out plan to begin Sun-setting old systems and spaghetti integration's by defining a smart MVP to build ""winning"" momentum and trust with stakeholders (and long term vision)If interested, please apply and/or get in touch: (see below) PRODUCT MANAGER (Data/Taxonomy)* £500+ pd* Outside IR35* London/Remote* 6 months rolling "
303,"Senior Business Data Analyst, Wholesale Credit Risk",Contract,£650 to £710 per Day (Inside IR35),"London, UK",Scot Lewis Associates Ltd,JS-BUS/DATA/RISK-RC,"Senior Business Data Analyst, Wholesale Credit Risk My global banking client, based in London, is looking for an experienced Business Data Analyst to join their Wholesale Credit Risk team. The Business Data Analyst needs to demonstrate an expertise of technical IT environments with regards data storage (eg SQL, DB2, SAS) as well as deep understanding of the data required to develop risk models. Due to the number of stakeholders involved the jobholder needs to pro-actively engage the relevant parties to ensure data is being sourced and collated in a timely manner to the project schedules.   Key skills:  Knowledge of Wholesale Credit Risk Knowledge of data required for risk modelling Strong data analytics background Strong data manipualtion and analysis skills SQL SAS SAS Data Integration Studio (SAS DI Studio) Tableau Data Warehousing experience Writes clear documents  Please apply now for immediate consideration and further details. Keywords: Business Analyst, Business Data Analyst, Data Analyst, Wholesale Credit Risk, Data analytics, data manipulation, data analysis, Risk modelling, SAS, SQL, Python, DI Studio, SAS DI Studio, Tableau, Banking. Scot Lewis Associates Ltd is acting as an employment business. "
304,"Senior Business Data Analyst, Retail Credit Risk - Remote Contract - c700/day (inside IR35)",Contract,c £700 per Day,"London, UK",Scot Lewis Associates Ltd,JSERVE-RCRBA2-MS,"Senior Business Data Analyst, Retail Credit Risk - Remote Contract - c700/day (inside IR35) My global banking client, based in London, is looking for an experienced Business Data Analyst to join their Retail Banking Credit Risk team. The role holder will assist in the delivery of global and regional Data and Analytics projects, with solutions implemented in Big Data, Hadoop and Google cloud, and a common Data Model which will become the golden data source for risk analytics, covering Basel Model development, execution, monitoring, decision modelling, IFRS9, and group MI reporting. The successful candidate will form an integral part of the RCR Data and Analytics Change team and will be actively involved in the definition of business requirements, working with business users in validation and consumption of data and servicing of Analytics. Responsibilities:  Deliver requirements and business analysis support to the delivery of a Risk Data Model and Analytical Environment for all analytical processes Deliver Data analysis and modelling to support regulatory requirements Act as a SME for the Data Model delivery to gather use case requirements Deliver design documentation Generate test data and validate the model data through automated/manual testing to ensure that it meets business requirements Work closely with risk analytics users, project team, IT and other teams to on-board users successfully to consume data, and utilize the Analytics Environment Support compliance with regulatory driven data requirements (Basel) and internal Data Management standards to ensure data integrity  Key skills:  Good working knowledge and delivery experience preferably within a Banking MI and Data Risk systems environment Data Analysis and Datamodelling experience Experience in Retail Credit Risk Basel Model development, Basel execution and monitoring Proven problem solving and analytical abilities including the ability to critically evaluate information gathered from multiple sources Experience in SQL and SAS Knowledge of the reporting approaches to Risk Management Information Knowledge of Big Data & Cloud concepts and architecture Experience in working with Technology architects, ETL developers and data analysts  Desirable skills  Exposure to Retail banking products such as Mortgages, Cards, Loans and Current Accounts An understanding of data infrastructure and architecture Exposure to Python and Anaconda  Please apply now for immediate consideration and further details. Keywords: Business Analyst, Data Analyst, Retail Banking, Retail Credit risk, Basel Model development, Risk Analytics, Data Analytics, Data Architecture, Data Services, Data Governance, SQL, SAS Scot Lewis Associates Ltd is acting as an employment business."
305,Big Data Development Lead,Permanent,£120k - £140k per annum + Bonus + Benefits,"England, UK",Lawrence Harvey,JS-SPBD,"A Global Financial Services company is looking for a talented Big Data Development Lead to help build state of the art financial analytics software via use of Hadoop and Spark platforms. As the Data Development Lead you will be responsible for the wider global team of analysts and software developers, guiding them through technical tasks, taking ownership of delivery as well as working alongside various teams in multiple worldwide locations.The client is actively investing their technology and data platforms in order to build a number of new revenue generating products, leveraging open-source and big data technologies such as Hadoop and Spark. This includes new smart data analytics, advanced analytics, visualisation and aggregation.Alongside Hadoop and Spark, this global Financial Services institution uses other best of breed technologies such as HDFS, Kafka and AWS, which the Data Development Lead will utilise when leading highly visible and strategic initiatives in the organisation. This is a fantastic opportunity to work with one of the worlds' leading Financial Services organisations in a fast paced, dynamic team environment alongside some of the most experienced analysts and engineers in the industry.Responsibilities:Leading the team in design and development of ""Big Data"" infrastructure for batch and Real Time analytics.Take ownership of delivery, participating in frequent design and code review meetingsHave a clear passion for technology in order to present new ideas and approachesPlay a key part in system architecture and design solutionsAnalyse use-cases and feature requests to technical designs and development tasksRequirements:Strong coding experience with Scripting languages Scala and Java is essentialStrong experience with open-source frameworks Hadoop and SparkCommercial experience on big data and advanced analytics projectsAWS Cloud solution experience eg EC2, EMR and S3Salary: £120,000 + Benefits + BonusLocation: UK, RemotePLEASE NOTE* This position does not offer sponsorship, you must be eligible to work in the UK.If you would like to hear more about this opportunity to join one on the worlds' leading Financial Services companies as a Big Data Development Lead, please get in touch with an up to date copy of your CV and a convenient time to speak.Thanks,LaurenLawrence Harvey is acting as an Employment Business in regards to this position. "
306,Cloud Data Architect,Contract,£500 - £800 per Day,"England, UK",Nigel Frank International,JS-GCPEI-12,"Job DescriptionMy client is in need of a Data Architect with a software development background to join the project for a 3-month rolling contract.Role & Responsibilities Understanding and experience with Google Cloud architecture In-depth working-level knowledge of database and data warehouse technologies & concepts from Google (eg Big Query, Cloud SQL)Be hands-on and fluent in several object-oriented languages, preferably Java, Python, Scala, and Go would highly desirable.Skills & QualificationsA certification such as Google Cloud Professional Cloud Architect, or Google Professional Data Engineer would be desirable and should be demonstrableGood experience with enterprise-scale data modellingStrong knowledge of cloud batch and stream processing architectures (eg DataProc)"
307,Azure Data Architect,Contract,£600 per day Inside IR35,"City of London, UK",Lawrence Harvey,JS-1831,"One of my consultancy customers is searching for an Azure Data Architect to start ASAP to deliver cost-effective and sustainable data solutions. My client will be offering an initial contract length of 6 months, paying £600 Inside IR35 and remote working with the occasional travel to the site in London for workshops. Please find all skills required below:Strong understanding of Data Analysis and Data ProfilingDatamodelling using ERD, DimensionalData Warehouse Design using Kimball and InmonBig Data Design using Lambda and KappaTOGAF PowerDesigner and BiZZdesignIf you're available for this role, please respond with your CV. If not, all recommendations are welcome.Lawrence Harvey is acting as an Employment Business in regards to this position. "
308,BO Data Analyst,Contract,£500 - £600 per Day,"England, UK",Stott and May,JS-BOANALYST,"Stott and May has an ideal contract opportunity for an experienced data analyst. Data Analyst will be joining a growing team, working within the health care sector. The company is undergoing a large database rebuild and is looking for freelancers to join on a long term basis.Type: ContractIR35: INSIDE IR35Location: Fully Remote - Option to work hybrid in LondonRate: £500-600 (negotiable depending on experience)Key Requirements:- SAP Business Objects Analysis- SAP BW- Recent health care experience/NHS data sets"
309,Azure Data Architect - £600-625pd - Inside IR35,Contract,£600-625pd,"Remote based , UK",Simon James I.T. Ltd,JS99,"My client in the Public Sector is looking for an Azure Data Architect, with a good understanding in Azure, ADF, Data Lake and Databricks. The ideal candidate will also possess an experience of Datamodelling tools (eg EA Sparx, PowerDesigner, Erwin etc). A few other key points from the Job Description:  Up-to-date understanding of analysis approaches, tools and techniques commonly applied in the consulting field Up-to-date understanding of databases, relational, object, graph etc Communicate CIM model releases to the Data Community  If you are interested and feel as though you would be a good fit for this role, I would be keen to discuss and send full details. Please feel free to get in contact with me directly using the details below."
310,Network Data Analyst/Hampshire,Permanent,40K + Bonus + Excellent Benefits,"Hampshire, UK",WNTD,JS/DD/2645,"The role:  Our client is looking for a proactive, analytical, conscientious Network Data Analyst to help support maintaining and updating various datasets around infrastructure and addresses, which are vital to the company being efficient when planning, building, and releasing homes for sale on the their network. What you'll be doing:  Act as the owner of address information/data for the company Manage the data required to release addresses/properties for sale, ensuring data integrity and accuracy of network installation information Deploy regular updates of datasets across Postgres and Smallworld databases.- Address data- OS map data- toob network data- BT Openreach network data- Bespoke analytic data Investigate requests to update/change address attributes and network installation methods Support the In-life Planning team to ensure any changes are also reflected in the asset management system Support senior management to develop and provide regular reports Fulfil regulatory and general data submission requests.  What you'll bring to the Role:  Highly proficient in excel and data management essential Skilled in data analytics and reporting Experience in Scripting/automating tasks preferable Previous experience in using and understanding GIS data High level of attention to detail Excellent communication skills Python coding track record Knowledge of Telco/FTTP networks advantageous but not essential Hold the Right to Work in the UK Live within commuting distance to Portsmouth.  Previous experience in using and understanding GIS data/Highly proficient in excel and data management essential/Skilled in data analytics and reporting/Scripting/automating tasks preferable. This is a hybrid work arrangement where you will be working in the comforts of your own home and on client site."
311,Associate Data Engineer,Permanent,41473.00 - 45336.00 Annual GBP,"Cardiff, UK",The Competition and Markets Authority,JS3095447/1608839106,"If you enjoy working with the latest developments in data engineering and want to deliver work that protects consumers and makes a real impact on society, then you will be interested in this exciting opportunity to join the expanding Data, Technology and Analytics (DaTA) unit at the Competition and Markets Authority (CMA). The CMA is a world-leading competition authority at the forefront of tackling pressing public policy questions, including the regulation of the biggest data and technology markets. As an Associate Data Engineer in the DaTA unit, you will be part of a small sub-team which is critical in designing and managing our analytical infrastructure and supporting the delivery of our most technically challenging projects. You will be given time and support for study and development and will be expected to spend the majority of your time in hands-on technical work. You should also feel comfortable engaging with internal stakeholders to make sure that we are building the right things.  You will be working across all levels of the tech stack, but with a focus on Back End, infrastructure, orchestration, and data. You may be working with the rest of the team on orchestrating a pipeline to handle and run machine learning models on millions of incoming documents or discussing with the Data Scientists how to handle model and data versioning in the same situation. You might be using Spark libraries for probabilistic data linkage across large datasets or working on containerising the Spark environment for doing that linkage as part of a regular ingestion job. All of these, and many other things, are happening in a modern tech stack, mostly in AWS, based around JupyterHub, Docker and serverless Python. An undergraduate degree in a quantitative or computer science subject or equivalent experience gained working in data engineering, data science or development in the public cloud is essential. Equally important is experience of writing code, including Python, to work with large and messy datasets, ideally using cloud services such as AWS, Azure or Google Cloud. You will also need an interest in learning about and understanding the latest methods and technologies within data science and engineering. This is an opportunity to join a dynamic, supportive team working across a range of interesting technologies. We are looking for potential as much as experience, so if the above sounds exciting but daunting please do still apply. In return the CMA is a hugely rewarding, diverse and stimulating place to work - an opportunity to work for the public good and to stretch and develop yourself in doing so. All CMA staff enjoy generous benefits, including an excellent pension scheme, at least 25 days leave (increasing to 30 over five years), and generous maternity/paternity leave provision. You can also take advantage of interest-free season ticket loans, a cycle to work scheme, childcare vouchers, and favourable consideration of flexible working. To find out more about this opportunity and about working for the CMA, please click on the APPLY button. Closing date for applications: 11:55 pm on 20 June 2022. The CMA are an accredited Disability Confident Employer, and we are an equal opportunities employer, welcoming suitably qualified applicants from all backgrounds. We recruit by merit on the basis of fair and open competition, as outlined in the Civil Service Commission's recruitment principles."
312,Senior Data Management Consultant - Candidate must have DV Clearance,Contract,£700/Day Inside of IR35,"Remote/Aldermaston, UK",J & C Associates Ltd,JSSENIOR DATA MANAGEMENT CONSULTANT - CANDIDATE MUST HAVE DV CLEARANCE,"We are IT Recruitment Specialists partnered with a prestigious Global Consultancy who require a Data Management Consultant for one of their Public sector Clients based in Aldermaston. This role will be Hybrid.  Candidates must hold active DV clearance IR35 - This role is inside of IR35   Job Description:  Proficiency with MS Excel to build a Data Catalogue list consisting of Data Sources and Ownerships etc. Ability to Drill down into Data Structures using SQL or Similar to obtain Low-level metadata from master data source eg table/column names, data types, etc. Sample data from the master data source. Profiling/volumetrics of each master data source eg row counts, data change/refresh frequencies, etc. Strong stakeholder management Lead from the front to guide clients with best-practice know-how Manufacturing experience desired, but not mandatory Data Migration experience  If you are interested in this position and would like to learn more please send through your CV and we will get in touch with you as soon as possible. Please note, candidates are often Shortlisted within 48 hours."
313,GCP Data Engineer,Contract,Up to £1k per Day,"England, UK",Nigel Frank International,JS-BB-04,"Job Description6 Month Rolling Contract (Fully Remote)I am currently looking for a number of GCP Data engineer to assist financial giant on a Data Migration Project.Build and deliver GCP data engineering solutions as part of a larger projectUse Google Data Products tools (eg BigQuery, Dataflow, Dataproc, AI Building Blocks, Looker, Cloud Data Fusion, Dataprep, etc.) to build solutions for our customersExperience with SQL and NoSQL modern data stores.Build relationships with client stakeholders to establish a high-level of rapport and confidenceWork with clients, local teams and offshore resources to deliver modern data productsUse GCP Data focused Reference Architecture"
314,Senior Data Team Lead,Contract,45.00 - 55.00/Hourly,"London, UK",Actalent,JSJP-002946572,"Description: Essential Functions: Client Management Serve as primary point of contact for customer on data management deliverables With minimal guidance, provide project management expertise working with customer data managers, key decision makers, and internal team members to manage continuous process improvements, issue escalation, workload projections, and provide technical expertise With guidance, provide input for and perform direct negotiations with customer, eg, timelines, financial, process, resources Maintain strong customer relationships Ensure open communications with customer and IQVIA management to manage and meet contractual obligations Service Management: Meet with Data Operations Coordinator (DOC) and/or Data Operations team members on a regular basis to ensure milestones meet timelines and quality deliverables Establish strong communications with Data Operations team, functional leads, project managers and all other stake holders With minimal guidance, support DM service delivery with comprehensive DM process and technical expertise in executing projects. Serve as the escalation point for unresolved data issues with guidance, work with client data managers, vendors, internal team members for resolution Work with functional manager(s) to ensure appropriate resources are assigned to meet project deliverables With guidance, create and/or review and sign-off on all data management plan (DMP) documents Implement proactive quality management plan. Identify any service and quality issues with agreed upon specifications per the DMP and contract/SOW and work with functional manager(s) to resolve With guidance, track service performance and provide leadership to identify root causes of issues and implement remedial actions Continuously look for opportunities to improve efficiency of tasks and quality of deliverables Identify compliance issues and work with functional manager(s) to ensure timely follow-up and resolution With guidance, maintain internal tracking databases and systems Financial Management/Business Development Support: With guidance, ensure service and quality meet agreed upon timelines and deliverables in contract/Scope of Work (SOW) Manage SOW/budget Review financial reports on a monthly basis and participate in project reviews as requested Identify out of scope tasks and track change orders to completion With guidance, may serve as Project Manager for single service DM projects, including financial tracking, revenue recognition, and invoicing With guidance, participate in and support RFP process (review RFP documents, pricing, attend bid defense) Other: Provide input on DM process improvements or project solutions to CDM team/CDM department Provide input on the development and implementation of a new technology or tool Participate in a focus team or global or local best practice team Perform other duties as directed by functional manager(s) Skills: Data managementDataedconcology rave project management budgeting vendor management  Employee Value Proposition: Opportunity to take senior responsibility and PM level duties. Worlds largest CRO. High chance of extension Job Title: Senior Data Team Lead Location: London, UK Rate/Salary: 45.00 - 55.00 GBP Hourly Job Type: Contract Trading as Aerotek. Allegis Group Limited, Bracknell, RG12 1RT, United Kingdom. No. 2876353. Allegis Group Limited operates as an Employment Business and Employment Agency as set out in the Conduct of Employment Agencies and Employment Businesses Regulations 2003. Aerotek and Actalent Services are companies within the Allegis Group network of companies (collectively referred to as ""Allegis Group""). Aerotek, Actalent Services, Aston Carter, EASi, Talentis Solutions, TEKsystems, Stamford Consultants and The Stamford Group are Allegis Group brands. If you apply, your personal data will be processed as described in the Allegis Group Online Privacy Notice available on the website. To access our Online Privacy Notice, which explains what information we may collect, use, share, and store about you, and describes your rights and choices about this, please go to the website. We are part of a global network of companies and as a result, the personal data you provide will be shared within Allegis Group and transferred and processed outside the UK, Switzerland and European Economic Area subject to the protections described in the Allegis Group Online Privacy Notice. We store personal data in the UK, EEA, Switzerland and the USA. If you would like to exercise your privacy rights, please visit the ""Contacting Us"" section of our Online Privacy Notice for details on how to contact us. To protect your privacy and security, we may take steps to verify your identity, such as a password and user ID if there is an account associated with your request, or identifying information such as your address or date of birth, before proceeding with your request. If you are resident in the UK, EEA or Switzerland, we will process any access request you make in accordance with our commitments under the UK Data Protection Act, EU-U.S. Privacy Shield or the Swiss-U.S. Privacy Shield."
